2026-02-09 20:37:28 - SiteLivenessTracker - INFO - [logger.py:97] - Site liveness tracker started
2026-02-09 20:37:28 - SiteLivenessTracker - INFO - [logger.py:97] - PostgreSQL connection pool initialized
2026-02-09 20:37:28 - SiteLivenessTracker - INFO - [logger.py:97] - Fetched 16950 onion sites for liveness check
2026-02-09 20:37:28 - SiteLivenessTracker - INFO - [logger.py:97] - Processing batch 1-50
2026-02-09 20:37:33 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 4ddbfaa83b4c | status=Alive | latency=5.22s
2026-02-09 20:37:34 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 728d511a4ec0 | status=Alive | latency=5.84s
2026-02-09 20:37:37 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 4378a8422e53 | status=Alive | latency=8.91s
2026-02-09 20:37:38 - SiteLivenessTracker - INFO - [logger.py:97] - Checked a473d325ba0d | status=Alive | latency=10.08s
2026-02-09 20:37:38 - SiteLivenessTracker - INFO - [logger.py:97] - Checked d123e631acab | status=Alive | latency=10.29s
2026-02-09 20:37:38 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 665dfeed4c54 | status=Alive | latency=10.29s
2026-02-09 20:37:40 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 96379ae3c801 | status=Alive | latency=11.92s
2026-02-09 20:37:40 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 92ed347f36eb | status=Alive | latency=12.68s
2026-02-09 20:37:43 - SiteLivenessTracker - ERROR - [logger.py:103] - Connection error for http://qibpmewsqcci657q5gbs2cogo3jmymp2pcrdu5tv5v5ppygoctutluid.onion/ | Host unreachable
2026-02-09 20:37:43 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 84a320ddf4dd | status=Dead | latency=N/A
2026-02-09 20:37:44 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 91751add440d | status=Alive | latency=6.84s
2026-02-09 20:37:47 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 2d21b2a6ffd2 | status=Alive | latency=8.03s
2026-02-09 20:37:48 - SiteLivenessTracker - INFO - [logger.py:97] - Checked f33f79d294c0 | status=Alive | latency=13.61s
2026-02-09 20:37:48 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 3e193f22f17b | status=Alive | latency=6.86s
2026-02-09 20:37:48 - SiteLivenessTracker - INFO - [logger.py:97] - Checked e9618f26cea6 | status=Alive | latency=6.62s
2026-02-09 20:37:50 - SiteLivenessTracker - INFO - [logger.py:97] - Checked b8c6d8f7f19f | status=Alive | latency=15.60s
2026-02-09 20:37:53 - SiteLivenessTracker - INFO - [logger.py:97] - Checked e08767b91213 | status=Alive | latency=9.25s
2026-02-09 20:37:53 - SiteLivenessTracker - WARNING - [logger.py:100] - Timeout while checking http://acxgfjdpp7i6meksldhmbg34ubmvb4pm5xgbcxw4ybzraj5bbm2vidqd.onion/
2026-02-09 20:37:53 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 52a15a52e691 | status=Timeout | latency=N/A
2026-02-09 20:37:54 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 0cdcd79858f9 | status=Alive | latency=15.40s
2026-02-09 20:37:55 - SiteLivenessTracker - INFO - [logger.py:97] - Checked af3866e77e82 | status=Alive | latency=6.42s
2026-02-09 20:37:55 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 2819669c8d6f | status=Alive | latency=9.86s
2026-02-09 20:37:55 - SiteLivenessTracker - INFO - [logger.py:97] - Checked cd4bcc307625 | status=Alive | latency=16.46s
2026-02-09 20:37:56 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 03fb9c8dbbde | status=Alive | latency=8.30s
2026-02-09 20:37:59 - SiteLivenessTracker - INFO - [logger.py:97] - Checked b65cc9cf9f44 | status=Alive | latency=9.75s
2026-02-09 20:38:04 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 64e12d176a5a | status=Alive | latency=10.83s
2026-02-09 20:38:04 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 64d21f0dc409 | status=Alive | latency=9.32s
2026-02-09 20:38:05 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 1fd6af1e3a0c | status=Alive | latency=16.31s
2026-02-09 20:38:05 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 00718da2e0f2 | status=Alive | latency=14.57s
2026-02-09 20:38:06 - SiteLivenessTracker - INFO - [logger.py:97] - Checked fcd231c07d81 | status=Alive | latency=11.77s
2026-02-09 20:38:07 - SiteLivenessTracker - INFO - [logger.py:97] - Checked fa12ed96c330 | status=Alive | latency=10.69s
2026-02-09 20:38:07 - SiteLivenessTracker - INFO - [logger.py:97] - Checked a3d7e80f1c87 | status=Alive | latency=10.74s
2026-02-09 20:38:07 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 23f39e78a98e | status=Alive | latency=11.86s
2026-02-09 20:38:07 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 706c909da5d4 | status=Alive | latency=10.94s
2026-02-09 20:38:07 - SiteLivenessTracker - INFO - [logger.py:97] - Checked b4dccb6cb76e | status=Alive | latency=7.74s
2026-02-09 20:38:09 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 747b0041242c | status=Alive | latency=4.40s
2026-02-09 20:38:11 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 02cb22332b04 | status=Alive | latency=6.72s
2026-02-09 20:38:12 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 989d8c059dee | status=Alive | latency=6.58s
2026-02-09 20:38:12 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 5c4035abfe76 | status=Alive | latency=6.78s
2026-02-09 20:38:13 - SiteLivenessTracker - INFO - [logger.py:97] - Checked c366b2773b42 | status=Alive | latency=7.25s
2026-02-09 20:38:15 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 1dd2dd11d294 | status=Alive | latency=7.12s
2026-02-09 20:38:15 - SiteLivenessTracker - INFO - [logger.py:97] - Checked d1e242bc55ed | status=Alive | latency=7.72s
2026-02-09 20:38:17 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 9d1149fb1770 | status=Alive | latency=6.84s
2026-02-09 20:38:17 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 470453ba589d | status=Alive | latency=9.28s
2026-02-09 20:38:17 - SiteLivenessTracker - INFO - [logger.py:97] - Checked 9303d0b7bfc6 | status=Alive | latency=5.19s
2026-02-09 20:38:21 - SiteLivenessTracker - INFO - [logger.py:97] - Checked a6b8d0a7ccf3 | status=Alive | latency=4.35s
